band,wavelength,mean,stdev,stdev/mean,Unnamed: 5,Unnamed: 6,Unnamed: 7
260,970.951,0.385946895,0.112405932,0.291247146,,,
261,973.162,0.379178953,0.110905225,0.29248782,,,
262,975.374,0.431268652,0.12546772,0.290927058,,,
263,977.586,0.363207024,0.106508145,0.293243626,,,
264,979.798,0.39949736,0.11603385,0.290449603,,,
265,982.01,0.441402645,0.129548628,0.293493093,,,
266,984.222,0.38975324,0.113287149,0.290663779,,,
267,986.434,0.403424688,0.117987935,0.292465827,,,
268,988.645,0.343290422,0.100672246,0.293256787,,,
269,990.857,0.360340658,0.105189688,0.291917346,,,
270,993.069,0.361122332,0.104572589,0.289576634,,,
271,995.281,0.395685291,0.114425686,0.289183573,,,
272,997.493,0.409179061,0.11778611,0.287859574,,,
273,999.705,0.406496085,0.116411476,0.286377853,,,
274,1001.92,0.411344724,0.119327825,0.290092027,,,
